Date,Sensor01,Sensor02,Sensor03,Sensor04,Sensor05,Sensor06,Sensor07,Sensor08,Sensor09,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/4/14,0.44,0.44,0.48,0.52,0.42,0.50,0.53,0.49,0.41,0.44,0.47,0.42,0.47,0.53,0.45,0.45,0.47,0.48,0.47,0.48,0.53,0.48,0.47,0.34,0.48,0.41,0.45,0.52,0.42,0.44,0.49,0.49,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/5/14,0.44,0.43,0.48,0.51,0.41,0.50,0.52,0.48,0.41,0.43,0.47,0.42,0.47,0.53,0.44,0.45,0.47,0.48,0.46,0.47,0.53,0.48,0.47,0.33,0.47,0.40,0.44,0.52,0.41,0.43,0.49,0.49,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/6/14,0.43,0.43,0.47,0.50,0.41,0.49,0.52,0.48,0.40,0.43,0.46,0.41,0.47,0.53,0.44,0.45,0.46,0.48,0.46,0.47,0.53,0.47,0.46,0.33,0.47,0.39,0.44,0.52,0.41,0.43,0.48,0.48,0.45,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/7/14,0.42,0.42,0.46,0.50,0.41,0.49,0.51,0.48,0.39,0.42,0.45,0.41,0.47,0.53,0.43,0.44,0.46,0.47,0.45,0.46,0.53,0.47,0.46,0.33,0.47,0.39,0.43,0.51,0.40,0.43,0.48,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/8/14,0.41,0.41,0.45,0.50,0.40,0.49,0.51,0.47,0.38,0.42,0.45,0.41,0.46,0.53,0.43,0.44,0.45,0.47,0.45,0.46,0.52,0.47,0.46,0.32,0.46,0.38,0.43,0.51,0.40,0.42,0.47,0.48,0.44,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/9/14,0.40,0.40,0.44,0.49,0.40,0.48,0.51,0.47,0.38,0.41,0.43,0.41,0.46,0.53,0.42,0.44,0.44,0.47,0.45,0.46,0.52,0.47,0.45,0.32,0.46,0.37,0.42,0.51,0.39,0.42,0.47,0.47,0.44,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/10/14,0.38,0.38,0.43,0.49,0.40,0.48,0.50,0.46,0.37,0.40,0.43,0.40,0.45,0.53,0.41,0.44,0.44,0.47,0.45,0.45,0.51,0.46,0.43,0.31,0.46,0.37,0.42,0.50,0.39,0.42,0.47,0.47,0.43,0.49,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/11/14,0.36,0.36,0.42,0.49,0.40,0.48,0.50,0.46,0.37,0.41,0.42,0.40,0.45,0.53,0.40,0.44,0.43,0.46,0.45,0.45,0.52,0.46,0.42,0.30,0.45,0.36,0.42,0.50,0.38,0.41,0.48,0.47,0.43,0.49,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/12/14,0.35,0.34,0.41,0.48,0.39,0.48,0.50,0.46,0.36,0.40,0.40,0.40,0.45,0.53,0.39,0.43,0.43,0.45,0.44,0.44,0.51,0.46,0.41,0.30,0.45,0.35,0.41,0.50,0.38,0.41,0.47,0.47,0.42,0.48,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/13/14,0.34,0.33,0.40,0.48,0.40,0.48,0.50,0.46,0.36,0.40,0.38,0.40,0.45,0.53,0.38,0.44,0.43,0.45,0.44,0.44,0.51,0.46,0.41,0.30,0.44,0.35,0.41,0.50,0.37,0.40,0.47,0.47,0.43,0.48,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/14/14,0.42,0.41,0.46,0.50,0.42,0.50,0.52,0.48,0.42,0.44,0.43,0.43,0.48,0.53,0.43,0.45,0.48,0.48,0.48,0.47,0.53,0.47,0.46,0.36,0.48,0.41,0.45,0.53,0.40,0.44,0.49,0.49,0.47,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/15/14,0.46,0.45,0.49,0.51,0.43,0.51,0.52,0.50,0.44,0.46,0.48,0.45,0.50,0.53,0.46,0.47,0.50,0.50,0.49,0.49,0.53,0.49,0.48,0.38,0.51,0.44,0.48,0.53,0.43,0.47,0.50,0.51,0.50,0.52,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/16/14,0.44,0.42,0.47,0.51,0.42,0.50,0.52,0.49,0.42,0.44,0.46,0.44,0.48,0.53,0.44,0.45,0.48,0.48,0.47,0.47,0.53,0.48,0.46,0.35,0.49,0.41,0.46,0.52,0.42,0.46,0.49,0.49,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/17/14,0.45,0.43,0.48,0.52,0.43,0.51,0.53,0.49,0.43,0.44,0.46,0.44,0.49,0.53,0.45,0.45,0.48,0.49,0.48,0.48,0.53,0.48,0.47,0.36,0.50,0.42,0.46,0.53,0.42,0.47,0.49,0.50,0.47,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/18/14,0.43,0.42,0.47,0.51,0.41,0.50,0.52,0.48,0.41,0.43,0.45,0.43,0.47,0.53,0.44,0.44,0.47,0.49,0.47,0.47,0.53,0.48,0.46,0.35,0.48,0.40,0.45,0.52,0.41,0.46,0.48,0.49,0.45,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/19/14,0.42,0.39,0.45,0.50,0.41,0.49,0.51,0.48,0.40,0.42,0.44,0.42,0.47,0.53,0.43,0.44,0.46,0.48,0.46,0.46,0.53,0.47,0.45,0.34,0.48,0.39,0.44,0.51,0.40,0.46,0.48,0.48,0.44,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/20/14,0.40,0.37,0.44,0.49,0.40,0.49,0.51,0.47,0.39,0.42,0.42,0.42,0.46,0.53,0.42,0.44,0.45,0.48,0.45,0.46,0.53,0.47,0.45,0.33,0.47,0.38,0.43,0.51,0.40,0.45,0.47,0.48,0.44,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/14,0.39,0.35,0.43,0.49,0.40,0.48,0.51,0.47,0.38,0.41,0.42,0.41,0.46,0.53,0.41,0.44,0.44,0.48,0.45,0.46,0.52,0.47,0.44,0.33,0.47,0.37,0.42,0.51,0.39,0.45,0.47,0.47,0.43,0.49,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/22/14,0.38,0.34,0.42,0.49,0.39,0.48,0.50,0.47,0.37,0.41,0.41,0.41,0.45,0.53,0.40,0.43,0.44,0.48,0.45,0.45,0.52,0.47,0.44,0.32,0.47,0.37,0.42,0.50,0.39,0.45,0.47,0.47,0.43,0.49,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/23/14,0.38,0.33,0.42,0.49,0.39,0.48,0.50,0.46,0.37,0.41,0.41,0.41,0.45,0.53,0.40,0.43,0.44,0.47,0.45,0.45,0.52,0.46,0.44,0.32,0.47,0.37,0.42,0.50,0.39,0.44,0.47,0.47,0.43,0.49,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/24/14,0.37,0.32,0.41,0.49,0.39,0.48,0.50,0.46,0.37,0.41,0.40,0.41,0.45,0.53,0.39,0.43,0.43,0.48,0.45,0.45,0.53,0.46,0.43,0.31,0.47,0.36,0.41,0.50,0.38,0.44,0.47,0.47,0.43,0.48,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/25/14,0.39,0.31,0.42,0.50,0.41,0.49,0.51,0.46,0.40,0.42,0.40,0.41,0.47,0.53,0.39,0.44,0.46,0.48,0.46,0.45,0.53,0.46,0.44,0.36,0.47,0.37,0.42,0.51,0.39,0.44,0.48,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/26/14,0.43,0.34,0.46,0.51,0.42,0.50,0.52,0.48,0.42,0.44,0.40,0.42,0.48,0.53,0.40,0.45,0.48,0.50,0.48,0.47,0.53,0.46,0.46,0.37,0.49,0.40,0.44,0.52,0.41,0.44,0.49,0.50,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/27/14,0.41,0.33,0.45,0.50,0.41,0.49,0.51,0.47,0.40,0.43,0.40,0.41,0.47,0.53,0.39,0.44,0.46,0.49,0.46,0.46,0.53,0.46,0.45,0.35,0.48,0.38,0.43,0.51,0.41,0.44,0.48,0.48,0.45,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/28/14,0.39,0.32,0.44,0.49,0.40,0.49,0.51,0.47,0.40,0.42,0.39,0.41,0.46,0.53,0.38,0.44,0.46,0.48,0.45,0.46,0.53,0.46,0.45,0.35,0.48,0.37,0.42,0.51,0.40,0.44,0.47,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/29/14,0.38,0.31,0.42,0.49,0.40,0.48,0.50,0.46,0.39,0.41,0.38,0.41,0.46,0.53,0.37,0.44,0.45,0.48,0.45,0.45,0.53,0.45,0.44,0.34,0.47,0.36,0.42,0.51,0.40,0.43,0.47,0.48,0.44,0.49,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/30/14,0.37,0.30,0.43,0.50,0.41,0.50,0.51,0.47,0.39,0.42,0.38,0.41,0.46,0.53,0.37,0.44,0.46,0.48,0.46,0.45,0.53,0.45,0.44,0.36,0.48,0.36,0.42,0.51,0.40,0.43,0.48,0.49,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/14,0.37,0.29,0.44,0.50,0.41,0.50,0.51,0.46,0.39,0.42,0.37,0.41,0.46,0.53,0.36,0.44,0.46,0.48,0.46,0.45,0.53,0.44,0.44,0.36,0.48,0.36,0.41,0.51,0.39,0.43,0.48,0.49,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/15,0.36,0.29,0.43,0.50,0.41,0.49,0.51,0.46,0.38,0.42,0.37,0.40,0.46,0.53,0.36,0.44,0.46,0.48,0.46,0.45,0.52,0.44,0.44,0.35,0.48,0.35,0.41,0.51,0.39,0.43,0.48,0.48,0.45,0.50,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/2/15,0.34,0.28,0.42,0.50,0.41,0.49,0.51,0.46,0.38,0.42,0.36,0.41,0.46,0.53,0.35,0.44,0.46,0.48,0.45,0.45,0.52,0.44,0.44,0.35,0.48,0.35,0.41,0.51,0.39,0.42,0.48,0.48,0.45,0.50,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/3/15,0.34,0.28,0.43,0.50,0.41,0.50,0.51,0.46,0.39,0.42,0.36,0.41,0.46,0.53,0.34,0.44,0.46,0.48,0.45,0.45,0.53,0.44,0.44,0.35,0.48,0.35,0.41,0.51,0.39,0.42,0.48,0.48,0.45,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/4/15,0.33,0.27,0.43,0.50,0.41,0.50,0.51,0.46,0.39,0.42,0.35,0.41,0.46,0.53,0.34,0.44,0.45,0.48,0.45,0.45,0.52,0.44,0.44,0.34,0.48,0.35,0.41,0.51,0.39,0.42,0.48,0.48,0.45,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/5/15,0.35,0.27,0.44,0.50,0.42,0.50,0.51,0.46,0.40,0.43,0.34,0.41,0.47,0.53,0.34,0.44,0.47,0.49,0.46,0.45,0.52,0.44,0.45,0.35,0.48,0.36,0.41,0.51,0.40,0.43,0.48,0.49,0.45,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/6/15,0.40,0.29,0.46,0.51,0.43,0.50,0.52,0.47,0.42,0.44,0.35,0.42,0.48,0.53,0.34,0.45,0.48,0.50,0.47,0.46,0.52,0.44,0.46,0.37,0.50,0.39,0.43,0.52,0.41,0.43,0.49,0.50,0.46,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/7/15,0.38,0.28,0.46,0.51,0.42,0.50,0.52,0.46,0.41,0.43,0.34,0.42,0.47,0.53,0.33,0.45,0.48,0.49,0.46,0.46,0.52,0.43,0.46,0.36,0.49,0.37,0.42,0.52,0.40,0.43,0.49,0.49,0.46,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/8/15,0.36,0.28,0.46,0.51,0.42,0.50,0.52,0.46,0.40,0.43,0.34,0.41,0.47,0.53,0.30,0.45,0.47,0.49,0.46,0.45,0.52,0.43,0.46,0.36,0.49,0.36,0.42,0.51,0.40,0.43,0.49,0.49,0.46,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/9/15,0.36,0.28,0.45,0.50,0.42,0.50,0.52,0.46,0.40,0.43,0.33,0.41,0.47,0.53,0.30,0.45,0.47,0.48,0.46,0.45,0.52,0.43,0.46,0.36,0.49,0.36,0.42,0.52,0.39,0.43,0.48,0.48,0.46,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/15/15,0.42,0.37,0.48,0.51,0.42,0.49,0.53,0.48,0.41,0.44,0.41,0.42,0.47,0.53,0.42,0.50,0.48,0.50,0.47,0.46,0.52,0.46,0.46,0.36,0.50,0.39,0.44,0.52,0.42,0.46,0.48,0.49,0.46,0.51,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/16/15,0.41,0.36,0.47,0.50,0.42,0.49,0.53,0.47,0.40,0.44,0.39,0.42,0.46,0.53,0.40,0.50,0.47,0.50,0.46,0.46,0.46,0.46,0.46,0.35,0.49,0.38,0.42,0.51,0.42,0.46,0.48,0.48,0.45,0.51,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/18/15,0.44,0.40,0.49,0.50,0.44,0.50,0.53,0.48,0.42,0.45,0.43,0.43,0.49,0.53,0.44,0.51,0.49,0.51,0.47,0.47,0.46,0.47,0.47,0.37,0.51,0.41,0.46,0.52,0.42,0.46,0.48,0.50,0.47,0.53,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/19/15,0.43,0.39,0.48,0.51,0.43,0.50,0.53,0.48,0.41,0.44,0.42,0.42,0.47,0.53,0.43,0.50,0.48,0.50,0.47,0.47,0.46,0.47,0.46,0.36,0.50,0.40,0.44,0.52,0.42,0.46,0.48,0.49,0.46,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/20/15,0.41,0.38,0.48,0.51,0.42,0.49,0.53,0.47,0.41,0.44,0.41,0.42,0.47,0.53,0.42,0.50,0.48,0.50,0.46,0.46,0.46,0.47,0.46,0.35,0.50,0.39,0.43,0.52,0.42,0.46,0.48,0.48,0.46,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/21/15,0.40,0.38,0.47,0.51,0.42,0.49,0.53,0.47,0.40,0.43,0.40,0.42,0.46,0.53,0.41,0.50,0.47,0.50,0.46,0.46,0.46,0.46,0.46,0.35,0.49,0.38,0.42,0.51,0.41,0.46,0.48,0.48,0.45,0.51,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/22/15,0.42,0.40,0.48,0.51,0.43,0.50,0.53,0.48,0.42,0.45,0.41,0.42,0.47,0.53,0.43,0.51,0.49,0.51,0.47,0.47,0.46,0.46,0.46,0.37,0.50,0.40,0.44,0.52,0.41,0.46,0.49,0.50,0.47,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/23/15,0.46,0.44,0.50,0.51,0.45,0.51,0.53,0.49,0.44,0.46,0.45,0.44,0.49,0.53,0.46,0.52,0.51,0.52,0.48,0.48,0.47,0.47,0.48,0.39,0.52,0.43,0.47,0.53,0.43,0.48,0.50,0.51,0.49,0.53,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/24/15,0.44,0.42,0.49,0.51,0.44,0.50,0.53,0.48,0.43,0.44,0.44,0.43,0.48,0.53,0.44,0.51,0.49,0.51,0.47,0.47,0.47,0.48,0.47,0.37,0.50,0.41,0.46,0.52,0.43,0.47,0.49,0.50,0.47,0.53,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/25/15,0.43,0.41,0.49,0.51,0.43,0.50,0.53,0.48,0.42,0.44,0.42,0.42,0.47,0.53,0.43,0.51,0.49,0.50,0.47,0.47,0.47,0.47,0.46,0.36,0.50,0.40,0.44,0.52,0.42,0.47,0.49,0.49,0.46,0.52,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/26/15,0.41,0.40,0.47,0.50,0.42,0.49,0.51,0.47,0.41,0.43,0.41,0.42,0.46,0.50,0.42,0.50,0.48,0.50,0.46,0.46,0.48,0.47,0.46,0.36,0.49,0.38,0.43,0.50,0.41,0.47,0.48,0.48,0.45,0.51,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/27/15,0.40,0.39,0.46,0.48,0.42,0.48,0.50,0.46,0.40,0.42,0.39,0.42,0.45,0.48,0.40,0.50,0.47,0.49,0.46,0.46,0.48,0.47,0.45,0.36,0.49,0.38,0.42,0.49,0.41,0.46,0.48,0.48,0.45,0.51,0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
