Date,contday,TRANSECT,LOCATION,O2,O2PCT,Moisture,Moisturepct,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,1,5,0.17,17.39,0.40,39.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,1,6,0.14,13.58,0.48,48.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,1,7,0.05,4.59,0.50,49.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,2,1,0.18,17.95,0.45,45.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,2,2,0.19,19.27,0.35,35.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,2,3,0.19,19.22,0.40,40.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,2,4,0.17,17.45,0.40,40.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,2,5,0.16,16.36,0.40,40.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,2,6,0.15,14.66,0.41,40.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,2,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,3,1,0.18,17.52,0.38,38.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,3,2,0.18,18.31,0.43,43.31,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,3,3,0.18,18.23,0.40,40.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,3,4,0.16,16.45,0.44,43.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,3,5,0.17,16.58,0.45,44.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,3,6,0.16,16.46,0.45,44.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,3,7,0.01,0.54,0.52,52.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,4,1,0.18,18.49,0.44,44.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,4,2,0.17,16.98,0.44,44.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,4,3,0.17,17.04,0.25,25.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,4,4,0.17,17.23,0.42,41.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,4,5,0.18,17.87,0.36,35.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,4,6,0.16,15.93,0.41,41.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,4,7,0.04,3.83,0.50,49.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,5,1,0.19,18.78,0.35,34.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,5,2,0.19,18.92,0.37,37.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,5,3,0.16,16.16,0.47,46.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,5,4,0.16,16.01,0.46,45.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,5,5,0.15,14.98,0.43,42.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,5,6,0.17,17.24,0.46,46.04,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/15/14,2,5,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,1,1,0.18,18.27,0.43,42.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,1,2,0.16,15.61,0.36,36.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,1,3,0.17,16.79,0.45,45.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,1,4,0.14,13.68,0.51,50.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,1,5,0.18,18.10,0.42,42.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,1,6,0.12,12.35,0.50,49.94,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,1,7,0.07,6.52,0.52,52.32,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,2,1,0.18,18.49,0.48,48.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,2,2,0.20,19.64,0.40,40.40,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,2,3,0.19,19.00,0.44,43.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,2,4,0.17,17.02,0.45,44.74,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,2,5,0.17,17.41,0.42,42.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,2,6,0.13,13.47,0.44,43.99,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,2,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,3,1,0.18,18.20,0.42,42.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,3,2,0.18,18.21,0.45,44.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,3,3,0.18,18.06,0.45,45.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,3,4,0.16,16.29,0.47,46.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,3,5,0.17,16.63,0.48,47.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,3,6,0.16,16.09,0.48,47.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,3,7,0.01,1.11,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,4,1,0.19,18.62,0.45,44.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,4,2,0.16,16.47,0.47,46.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,4,3,0.17,16.87,0.31,30.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,4,4,0.17,17.06,0.46,46.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,4,5,0.18,17.93,0.41,40.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,4,6,0.15,15.14,0.45,45.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,4,7,0.04,4.44,0.52,51.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,5,1,0.19,19.17,0.40,40.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,5,2,0.19,18.56,0.40,39.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,5,3,0.16,16.00,0.49,48.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,5,4,0.16,15.74,0.49,48.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,5,5,0.14,13.51,0.46,46.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,5,6,0.17,17.26,0.50,49.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/14,3,5,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,1,1,0.18,18.28,0.43,43.41,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,1,2,0.16,15.75,0.38,37.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,1,3,0.17,17.16,0.46,46.09,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,1,4,0.13,13.24,0.51,50.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,1,5,0.18,18.41,0.43,42.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,1,6,0.12,11.83,0.50,50.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,1,7,0.06,6.23,0.53,52.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,2,1,0.18,18.43,0.49,48.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,2,2,0.20,19.61,0.41,41.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,2,3,0.19,18.85,0.44,44.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,2,4,0.17,16.79,0.46,45.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,2,5,0.17,17.28,0.43,43.44,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,2,6,0.13,13.24,0.45,44.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,2,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,3,1,0.19,18.60,0.43,43.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,3,2,0.18,18.15,0.45,45.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,3,3,0.18,18.16,0.45,44.80,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,3,4,0.16,16.13,0.47,47.12,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,3,5,0.17,16.59,0.48,47.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,3,6,0.16,15.79,0.48,47.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,3,7,0.01,1.02,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,4,1,0.19,18.61,0.45,44.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,4,2,0.17,16.53,0.47,47.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,4,3,0.17,16.97,0.30,30.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,4,4,0.17,16.90,0.47,46.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,4,5,0.18,17.88,0.41,41.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,4,6,0.14,14.50,0.46,45.55,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,4,7,0.04,4.34,0.52,51.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,5,1,0.19,19.28,0.40,40.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,5,2,0.19,18.58,0.41,40.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,5,3,0.16,16.10,0.49,49.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,5,4,0.15,15.48,0.49,48.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,5,5,0.13,13.07,0.46,46.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,5,6,0.16,16.16,0.50,50.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/17/14,4,5,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,1,1,0.18,18.45,0.42,42.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,1,2,0.17,16.74,0.36,36.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,1,3,0.18,17.77,0.45,45.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,1,4,0.13,12.72,0.50,49.64,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,1,5,0.18,18.37,0.42,41.88,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,1,6,0.12,12.08,0.50,49.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,1,7,0.06,5.90,0.52,51.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,2,1,0.18,18.35,0.48,47.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,2,2,0.20,19.64,0.40,40.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,2,3,0.19,18.93,0.43,43.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,2,4,0.17,17.05,0.45,44.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,2,5,0.17,17.34,0.43,42.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,2,6,0.13,12.86,0.43,43.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,2,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,3,1,0.19,18.55,0.43,43.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,3,2,0.18,18.34,0.44,44.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,3,3,0.19,18.52,0.44,43.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,3,4,0.16,16.05,0.46,46.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,3,5,0.17,16.71,0.47,46.91,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,3,6,0.15,15.39,0.47,47.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,3,7,0.01,0.92,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,4,1,0.19,18.64,0.45,45.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,4,2,0.17,17.03,0.46,46.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,4,3,0.17,17.30,0.29,29.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,4,4,0.17,16.83,0.46,45.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,4,5,0.18,18.02,0.40,39.65,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,4,6,0.14,13.65,0.44,44.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,4,7,0.04,4.24,0.51,51.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,5,1,0.19,19.30,0.40,39.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,5,2,0.19,18.96,0.41,41.16,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,5,3,0.16,16.42,0.48,48.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,5,4,0.15,15.36,0.48,47.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,5,5,0.14,13.84,0.45,44.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,5,6,0.14,13.88,0.50,49.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/18/14,5,5,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,1,1,0.18,17.88,0.44,43.58,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,1,2,0.16,16.29,0.38,37.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,1,3,0.18,17.77,0.47,46.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,1,4,0.12,12.11,0.51,50.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,1,5,0.18,18.36,0.43,43.26,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,1,6,0.11,11.28,0.50,50.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,1,7,0.05,5.46,0.52,52.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,2,1,0.18,18.40,0.49,48.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,2,2,0.19,19.43,0.42,41.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,2,3,0.19,18.70,0.44,44.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,2,4,0.17,16.91,0.46,46.03,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,2,5,0.16,16.38,0.43,43.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,2,6,0.12,12.26,0.44,44.34,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,2,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,3,1,0.18,18.45,0.44,44.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,3,2,0.18,18.08,0.45,45.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,3,3,0.18,18.40,0.45,45.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,3,4,0.16,15.87,0.47,47.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,3,5,0.16,16.37,0.48,47.69,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,3,6,0.15,14.74,0.48,47.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,3,7,0.01,0.78,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,4,1,0.19,18.50,0.46,46.38,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,4,2,0.17,16.71,0.47,47.17,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,4,3,0.17,17.19,0.31,30.60,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,4,4,0.17,16.64,0.47,46.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,4,5,0.18,17.63,0.41,41.10,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,4,6,0.12,12.26,0.45,45.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,4,7,0.04,4.10,0.52,51.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,5,1,0.19,19.09,0.41,40.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,5,2,0.19,18.67,0.42,41.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,5,3,0.16,16.31,0.49,49.06,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,5,4,0.15,15.05,0.49,48.70,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,5,5,0.13,12.64,0.46,45.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,5,6,0.11,11.26,0.51,50.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/14,6,5,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,1,1,0.18,17.99,0.43,42.78,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,1,2,0.17,16.69,0.37,37.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,1,3,0.18,17.76,0.47,46.63,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,1,4,0.12,11.79,0.51,50.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,1,5,0.18,18.40,0.43,42.62,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,1,6,0.11,11.20,0.50,50.22,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,1,7,0.05,5.04,0.52,52.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,2,1,0.18,18.33,0.49,48.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,2,2,0.19,19.39,0.41,40.76,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,2,3,0.19,18.72,0.44,43.82,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,2,4,0.17,16.75,0.46,45.98,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,2,5,0.16,16.25,0.43,42.57,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,2,6,0.12,12.03,0.44,44.13,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,2,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,3,1,0.18,18.29,0.44,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,3,2,0.18,18.02,0.45,44.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,3,3,0.18,18.40,0.45,44.56,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,3,4,0.16,15.75,0.47,46.87,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,3,5,0.16,16.45,0.47,47.14,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,3,6,0.14,14.34,0.47,47.48,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,3,7,0.01,0.65,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,4,1,0.19,18.51,0.46,46.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,4,2,0.17,16.89,0.47,47.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,4,3,0.17,17.19,0.30,29.83,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,4,4,0.17,16.52,0.46,46.28,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,4,5,0.18,17.73,0.40,40.30,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,4,6,0.11,11.41,0.45,44.79,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,4,7,0.04,3.96,0.52,51.54,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,5,1,0.19,19.05,0.40,39.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,5,2,0.19,18.77,0.42,41.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,5,3,0.16,16.31,0.49,48.85,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,5,4,0.15,14.86,0.48,48.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,5,5,0.13,13.29,0.45,45.47,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,5,6,0.09,9.13,0.51,50.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/14,7,5,7,0.00,0.00,0.53,52.50,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,8,1,1,0.18,18.14,0.43,42.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,8,1,2,0.17,17.11,0.37,37.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,8,1,3,0.18,17.76,0.47,46.73,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,8,1,4,0.13,12.61,0.50,50.20,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,8,1,5,0.18,18.28,0.43,42.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,8,1,6,0.12,11.51,0.50,50.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/21/14,8,1,7,0.05,4.67,0.52,51.90,,,,,,,,,,,,,,,,,,,,,,,,,,,
