Date,Sensor01,Sensor02,Sensor03,Sensor04,Sensor05,Sensor06,Sensor07,Sensor08,Sensor09,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor26,Sensor27,Sensor28,Sensor29,Sensor30,Sensor31,Sensor32,Sensor33,Sensor34,Sensor35
11/24/14,0.17,0.16,0.18,0.13,0.18,0.11,0.04,0.18,0.2,0.19,0.16,0.17,0.15,0,0.18,0.18,0.18,0.16,0.16,0.14,0,0.18,0.17,0.17,0.17,0.18,0.12,0.04,0.19,0.19,0.16,0.15,0.13,0.07,0
11/25/14,0.16,0.15,0.17,0.13,0.18,0.1,0.03,0.18,0.19,0.19,0.17,0.16,0.15,0,0.18,0.18,0.18,0.16,0.16,0.14,0,0.18,0.16,0.17,0.17,0.17,0.11,0.03,0.18,0.18,0.16,0.15,0.12,0.06,0
11/26/14,0.16,0.15,0.17,0.13,0.18,0.1,0.03,0.18,0.19,0.18,0.16,0.16,0.15,0,0.18,0.18,0.18,0.16,0.16,0.14,0,0.18,0.16,0.17,0.17,0.17,0.11,0.03,0.18,0.18,0.16,0.15,0.12,0.05,0
11/27/14,0.16,0.15,0.18,0.12,0.17,0.1,0.03,0.18,0.19,0.18,0.16,0.16,0.15,0,0.18,0.18,0.18,0.16,0.16,0.14,0,0.18,0.16,0.17,0.16,0.18,0.1,0.03,0.18,0.18,0.16,0.15,0.14,0.05,0
11/28/14,0.18,0.16,0.18,0.13,0.18,0.13,0.03,0.18,0.19,0.19,0.17,0.17,0.15,0,0.17,0.18,0.18,0.16,0.17,0.14,0,0.18,0.16,0.17,0.17,0.18,0.12,0.03,0.19,0.19,0.16,0.15,0.15,0.05,0
11/29/14,0.17,0.16,0.18,0.13,0.18,0.11,0.02,0.18,0.19,0.18,0.17,0.17,0.14,0,0.18,0.18,0.18,0.16,0.17,0.14,0,0.18,0.16,0.17,0.17,0.18,0.11,0.03,0.19,0.18,0.16,0.15,0.14,0.07,0
11/30/14,0.17,0.16,0.18,0.13,0.18,0.11,0.02,0.18,0.19,0.18,0.16,0.16,0.14,0,0.18,0.18,0.18,0.16,0.16,0.14,0,0.18,0.16,0.17,0.17,0.18,0.11,0.03,0.19,0.18,0.16,0.15,0.14,0.06,0
12/1/14,0.16,0.15,0.17,0.13,0.18,0.1,0.02,0.18,0.19,0.18,0.16,0.17,0.13,0,0.18,0.18,0.18,0.16,0.16,0.14,0,0.18,0.16,0.17,0.17,0.18,0.1,0.03,0.18,0.18,0.16,0.15,0.12,0.06,0
12/2/14,0.15,0.15,0.17,0.12,0.18,0.09,0.02,0.18,0.19,0.18,0.16,0.17,0.11,0,0.18,0.18,0.18,0.16,0.16,0.13,0,0.18,0.16,0.17,0.17,0.17,0.09,0.03,0.18,0.18,0.16,0.15,0.12,0.05,0
12/3/14,0.16,0.15,0.17,0.12,0.18,0.09,0.02,0.18,0.19,0.18,0.16,0.16,0.11,0,0.18,0.18,0.18,0.16,0.16,0.13,0,0.18,0.16,0.17,0.16,0.17,0.09,0.03,0.18,0.18,0.16,0.15,0.12,0.04,0
12/4/14,0.16,0.15,0.17,0.12,0.18,0.09,0.01,0.18,0.19,0.18,0.16,0.16,0.11,0,0.18,0.17,0.18,0.16,0.16,0.13,0,0.18,0.16,0.16,0.16,0.17,0.08,0.03,0.18,0.18,0.16,0.15,0.11,0.03,0
12/5/14,0.16,0.16,0.17,0.11,0.18,0.1,0.01,0.18,0.19,0.18,0.16,0.16,0.12,0,0.18,0.18,0.18,0.15,0.16,0.13,0,0.18,0.16,0.17,0.16,0.17,0.09,0.03,0.18,0.18,0.16,0.14,0.12,0.02,0
12/6/14,0.17,0.16,0.17,0.12,0.17,0.11,0.01,0.18,0.19,0.18,0.16,0.16,0.13,0,0.18,0.18,0.18,0.16,0.16,0.13,0,0.18,0.16,0.17,0.16,0.18,0.09,0.03,0.18,0.18,0.16,0.15,0.13,0.01,0
12/7/14,0.18,0.16,0.18,0.13,0.18,0.13,0.01,0.18,0.19,0.18,0.17,0.16,0.13,0,0.18,0.18,0.18,0.16,0.17,0.14,0,0.18,0.16,0.17,0.17,0.18,0.1,0.03,0.19,0.18,0.16,0.15,0.15,0.02,0
12/8/14,0.18,0.16,0.18,0.14,0.18,0.14,0.01,0.18,0.19,0.19,0.17,0.17,0.15,0,0.18,0.18,0.18,0.16,0.17,0.14,0,0.19,0.16,0.17,0.17,0.18,0.12,0.03,0.19,0.18,0.16,0.16,0.16,0.04,0
12/9/14,0.18,0.17,0.18,0.14,0.18,0.13,0.01,0.18,0.19,0.19,0.17,0.17,0.15,0,0.18,0.18,0.19,0.16,0.17,0.15,0,0.19,0.17,0.17,0.17,0.18,0.13,0.03,0.19,0.19,0.16,0.16,0.16,0.08,0
12/10/14,0.18,0.17,0.18,0.14,0.18,0.13,0,0.18,0.19,0.19,0.17,0.17,0.15,0,0.18,0.18,0.18,0.17,0.17,0.15,0,0.19,0.17,0.17,0.17,0.18,0.14,0.02,0.19,0.19,0.16,0.16,0.15,0.11,0
12/11/14,0.19,0.18,0.18,0.15,0.18,0.13,0.01,0.18,0.2,0.19,0.17,0.17,0.15,0,0.18,0.19,0.19,0.17,0.17,0.16,0,0.19,0.18,0.17,0.17,0.18,0.14,0.03,0.19,0.19,0.16,0.16,0.15,0.13,0
12/12/14,0.18,0.18,0.18,0.15,0.17,0.13,0.01,0.19,0.2,0.19,0.17,0.17,0.15,0.01,0.18,0.19,,,,,,,,,,,,,,,,,0.15,0.15,0.01
12/13/14,0.19,0.18,0.18,0.15,0.17,0.14,0.05,0.18,0.2,0.19,0.18,0.17,0.15,0.01,0.18,0.19,,,,,,,,,,,,,,,,,0.15,0.15,0.01
12/14/14,0.19,0.19,0.18,0.15,0.18,0.14,0.09,0.18,0.2,0.19,0.18,0.17,0.15,0.01,0.18,0.19,,,,,,,,,,,,,,,,,0.15,0.16,0.01
12/15/14,0.18,0.18,0.17,0.14,0.18,0.12,0.1,0.18,0.19,0.18,0.17,0.16,0.14,0.01,0.18,0.18,,,,,,,,,,,,,,,,,0.13,0.15,0.01
12/16/14,0.15,0.14,0.17,0.13,0.18,0.11,0.09,0.18,0.18,0.17,0.17,0.15,0.11,0.01,0.16,0.17,,,,,,,,,,,,,,,,,0.11,0.13,0.01
12/17/14,0.16,0.16,0.17,0.09,0.18,0.1,0.09,0.18,0.19,0.18,0.16,0.17,0.12,0.01,0.18,0.17,,,,,,,,,,,,,,,,,0.15,0.11,0.01
12/18/14,0.16,0.16,0.17,0.1,0.17,0.1,0.09,0.18,0.19,0.18,0.16,0.18,0.13,0.01,0.18,0.17,,,,,,,,,,,,,,,,,0.14,0.1,0.01
12/19/14,0.17,0.17,0.17,0.1,0.17,0.11,0.08,0.18,0.19,0.18,0.16,0.17,0.14,0.01,0.18,0.18,,,,,,,,,,,,,,,,,0.14,0.09,0.01
12/20/14,0.18,0.18,0.17,0.12,0.18,0.12,0.08,0.18,0.19,0.18,0.16,0.17,0.14,0.01,0.18,0.18,,,,,,,,,,,,,,,,,0.15,0.1,0.01
12/21/14,0.18,0.18,0.17,0.12,0.18,0.12,0.08,0.18,0.2,0.18,0.16,0.17,0.14,0.01,0.18,0.18,,,,,,,,,,,,,,,,,0.15,0.11,0.01
12/22/14,0.19,0.19,0.18,0.14,0.18,0.13,0.05,0.19,0.2,0.19,0.17,0.17,0.15,0.01,0.18,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.18,0.19,0.17,0.18,0.16,0.07,0.2,0.18,0.17,0.17,0.15,0.13,0.01
12/23/14,0.19,0.19,0.18,0.14,0.18,0.13,0.04,0.19,0.2,0.19,0.17,0.17,0.15,0.01,0.18,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.18,0.19,0.17,0.18,0.16,0.08,0.2,0.18,0.17,0.17,0.15,0.14,0.01
12/24/14,0.19,0.19,0.18,0.15,0.18,0.14,0.04,0.19,0.2,0.19,0.17,0.18,0.15,0.01,0.18,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.19,0.19,0.17,0.19,0.17,0.09,0.2,0.18,0.17,0.17,0.15,0.15,0.01
12/25/14,0.18,0.19,0.18,0.15,0.17,0.13,0.03,0.19,0.2,0.19,0.18,0.18,0.15,0.01,0.18,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.18,0.19,0.17,0.19,0.16,0.09,0.2,0.19,0.17,0.17,0.15,0.15,0.01
12/26/14,0.18,0.18,0.17,0.16,0.18,0.12,0.03,0.18,0.2,0.18,0.17,0.18,0.14,0.01,0.18,0.18,0.18,0.18,0.18,0.16,0.01,0.18,0.18,0.18,0.17,0.18,0.14,0.06,0.2,0.18,0.16,0.17,0.14,0.14,0.01
12/27/14,0.18,0.18,0.18,0.15,0.17,0.12,0.02,0.18,0.2,0.19,0.17,0.18,0.14,0.01,0.18,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.18,0.19,0.17,0.19,0.15,0.05,0.2,0.18,0.16,0.18,0.14,0.13,0.01
12/28/14,0.18,0.19,0.18,0.15,0.18,0.12,0.02,0.18,0.2,0.19,0.17,0.18,0.14,0.01,0.18,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.18,0.19,0.17,0.19,0.16,0.05,0.2,0.19,0.17,0.17,0.14,0.12,0.01
12/29/14,0.19,0.19,0.18,0.15,0.18,0.13,0.02,0.19,0.2,0.19,0.18,0.17,0.14,0.01,0.19,0.19,0.18,0.18,0.18,0.17,0.01,0.19,0.18,0.19,0.17,0.18,0.16,0.06,0.2,0.18,0.17,0.17,0.15,0.13,0.01
12/30/14,0.19,0.19,0.18,0.15,0.17,0.12,0.02,0.19,0.2,0.19,0.18,0.18,0.14,0.01,0.19,0.19,0.18,0.18,0.17,0.17,0.01,0.18,0.18,0.19,0.17,0.18,0.16,0.06,0.2,0.19,0.17,0.17,0.15,0.13,0.01
12/31/14,0.19,0.18,0.18,0.15,0.17,0.12,0.01,0.19,0.2,0.18,0.18,0.17,0.14,0.01,0.19,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.18,0.19,0.17,0.18,0.16,0.04,0.2,0.19,0.17,0.17,0.14,0.13,0.01
1/1/15,0.19,0.18,0.17,0.15,0.17,0.12,0.01,0.19,0.2,0.18,0.18,0.17,0.14,0.01,0.19,0.19,0.18,0.18,0.18,0.16,0.01,0.19,0.18,0.19,0.18,0.18,0.16,0.04,0.2,0.18,0.17,0.17,0.14,0.12,0.01
1/2/15,0.19,0.19,0.18,0.16,0.17,0.12,0.01,0.19,0.2,0.19,0.18,0.18,0.15,0.01,0.19,0.19,0.18,0.18,0.18,0.17,0.01,0.18,0.19,0.19,0.18,0.18,0.16,0.09,0.2,0.19,0.17,0.17,0.15,0.13,0.01
1/3/15,0.18,0.19,0.18,0.16,0.17,0.12,0.01,0.19,0.2,0.19,0.18,0.19,0.15,0.01,0.19,0.19,0.18,0.18,0.18,0.18,0.01,0.18,0.19,0.19,0.18,0.19,0.16,0.06,0.2,0.19,0.17,0.18,0.15,0.12,0.01
1/4/15,0.19,0.19,0.18,0.16,0.17,0.13,0.01,0.19,0.2,0.19,0.19,0.19,0.15,0.01,0.19,0.19,0.18,0.18,0.18,0.18,0.01,0.19,0.19,0.19,0.18,0.19,0.16,0.06,0.2,0.19,0.17,0.18,0.15,0.12,0.01
1/5/15,0.19,0.19,0.18,0.16,0.18,0.13,0,0.19,0.2,0.19,0.19,0.18,0.15,0.01,0.19,0.19,0.18,0.18,0.18,0.17,0.01,0.19,0.19,0.19,0.18,0.19,0.16,0.06,0.2,0.19,0.17,0.17,0.15,0.14,0.01
1/6/15,0.18,0.19,0.17,0.15,0.18,0.12,0,0.18,0.2,0.18,0.19,0.18,0.14,0.01,0.19,0.18,0.18,0.18,0.18,0.17,0.01,0.18,0.18,0.19,0.17,0.19,0.14,0.07,0.2,0.19,0.17,0.18,0.14,0.13,0.01
1/7/15,0.18,0.19,0.17,0.15,0.18,0.12,0,0.19,0.2,0.18,0.19,0.17,0.13,0.01,0.19,0.18,0.18,0.18,0.18,0.16,0.01,0.18,0.18,0.19,0.17,0.18,0.14,0.06,0.2,0.19,0.17,0.17,0.14,0.14,0.01
1/8/15,0.19,0.18,0.17,0.15,0.17,0.12,0,0.19,0.19,0.18,0.19,0.17,0.13,0.01,0.19,0.18,0.18,0.18,0.18,0.16,0.01,0.18,0.18,0.19,0.18,0.18,0.15,0.06,0.2,0.19,0.16,0.17,0.14,0.14,0.01
1/9/15,0.19,0.19,0.17,0.15,0.17,0.12,0,0.19,0.2,0.18,0.19,0.17,0.14,0.01,0.19,0.18,0.18,0.18,0.17,0.16,0.01,0.18,0.18,0.19,0.18,0.19,0.15,0.06,0.2,0.19,0.17,0.17,0.14,0.15,0.01
1/15/15,0.17,0.18,0.17,0.15,0.17,0.1,0.04,0.17,0.2,0.18,0.16,0.17,0.14,0.04,0.18,0.18,0.17,0.18,0.15,0.11,0.05,0.18,0.18,0.18,0.17,0.18,0.13,0.03,0.2,0.18,0.15,0.16,0.12,0.11,0.02
1/16/15,0.18,0.18,0.17,0.15,0.17,0.11,0.05,0.18,0.19,0.18,0.16,0.16,0.14,0.05,0.18,0.18,0.17,0.18,0.14,0.12,0.05,0.19,0.18,0.18,0.17,0.17,0.14,0.04,0.2,0.18,0.16,0.16,0.13,0.12,0.03
1/18/15,0.17,0.18,0.17,0.15,0.17,0.1,0.04,0.18,0.19,0.17,0.16,0.16,0.13,0.05,0.18,0.18,0.17,0.18,0.15,0.11,0.05,0.18,0.18,0.18,0.16,0.18,0.15,0.03,0.2,0.18,0.15,0.17,0.12,0.13,0.03
1/19/15,0.18,0.17,0.17,0.16,0.18,0.11,0.05,0.18,0.19,0.18,0.16,0.17,0.13,0.05,0.18,0.18,0.18,0.18,0.15,0.12,0.05,0.18,0.18,0.18,0.17,0.19,0.15,0.04,0.2,0.18,0.16,0.18,0.14,0.13,0.03
1/20/15,0.18,0.18,0.18,0.16,0.18,0.11,0.05,0.18,0.19,0.18,0.16,0.17,0.13,0.06,0.18,0.18,0.17,0.18,0.15,0.12,0.05,0.19,0.18,0.19,0.17,0.18,0.15,0.04,0.2,0.18,0.17,0.18,0.14,0.13,0.03
1/21/15,0.18,0.18,0.18,0.16,0.17,0.11,0.05,0.18,0.19,0.18,0.17,0.17,0.13,0.04,0.18,0.18,0.17,0.18,0.15,0.12,0.05,0.19,0.18,0.19,0.17,0.18,0.15,0.03,0.2,0.18,0.17,0.18,0.14,0.14,0.03
1/22/15,0.18,0.18,0.17,0.16,0.17,0.1,0.05,0.18,0.19,0.17,0.17,0.17,0.13,0.04,0.18,0.18,0.18,0.18,0.14,0.12,0.05,0.19,0.18,0.18,0.17,0.18,0.14,0.03,0.2,0.18,0.16,0.17,0.13,0.14,0.03
1/23/15,0.17,0.17,0.17,0.15,0.17,0.09,0.04,0.18,0.19,0.16,0.16,0.15,0.12,0.03,0.18,0.17,0.17,0.18,0.13,0.11,0.04,0.18,0.18,0.18,0.17,0.17,0.13,0.02,0.2,0.18,0.16,0.16,0.11,0.12,0.02
1/24/15,0.17,0.17,0.17,0.15,0.15,0.08,0.03,0.18,0.19,0.16,0.15,0.17,0.12,0.03,0.18,0.17,0.17,0.18,0.14,0.12,0.04,0.18,0.18,0.18,0.16,0.18,0.13,0.02,0.2,0.18,0.16,0.16,0.12,0.08,0.02
1/25/15,0.17,0.18,0.17,0.15,0.16,0.1,0.04,0.18,0.19,0.18,0.16,0.17,0.13,0.03,0.18,0.18,0.17,0.18,0.15,0.12,0.04,0.18,0.18,0.18,0.17,0.18,0.14,0.02,0.2,0.18,0.16,0.17,0.13,0.11,0.02
1/26/15,0.18,0.18,0.17,0.15,0.17,0.11,0.05,0.18,0.2,0.18,0.16,0.17,0.14,0.05,0.18,0.18,0.17,0.18,0.15,0.12,0.05,0.19,0.18,0.18,0.17,0.18,0.15,0.04,0.2,0.18,0.16,0.17,0.14,0.13,0.03
1/27/15,0.18,0.18,0.17,0.16,0.17,0.11,0.06,0.18,0.2,0.18,0.16,0.17,0.14,0.06,0.18,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.17,0.18,0.15,0.05,0.2,0.18,0.17,0.17,0.14,0.14,0.03
1/28/15,0.18,0.18,0.18,0.16,0.17,0.12,0.06,0.18,0.19,0.18,0.16,0.17,0.14,0.06,0.18,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.18,0.19,0.18,0.18,0.16,0.05,0.2,0.18,0.17,0.17,0.15,0.15,0.04
1/29/15,0.18,0.18,0.18,0.16,0.17,0.12,0.06,0.18,0.19,0.18,0.17,0.17,0.14,0.06,0.18,0.18,0.18,0.18,0.14,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.16,0.05,0.2,0.18,0.17,0.17,0.15,0.15,0.04
1/30/15,0.18,0.18,0.18,0.16,0.17,0.12,0.06,0.18,0.19,0.18,0.17,0.17,0.14,0.05,0.18,0.18,0.17,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.16,0.04,0.2,0.18,0.17,0.17,0.15,0.15,0.04
1/31/15,0.19,0.18,0.18,0.16,0.17,0.12,0.06,0.19,0.2,0.18,0.17,0.17,0.14,0.06,0.18,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.16,0.05,0.2,0.18,0.17,0.18,0.15,0.15,0.04
2/1/15,0.19,0.19,0.18,0.16,0.17,0.13,0.06,0.19,0.2,0.19,0.18,0.18,0.15,0.06,0.19,0.19,0.18,0.18,0.15,0.13,0.05,0.19,0.19,0.19,0.18,0.19,0.16,0.05,0.2,0.18,0.17,0.18,0.15,0.16,0.04
2/2/15,0.19,0.18,0.18,0.16,0.17,0.12,0.06,0.19,0.2,0.19,0.18,0.18,0.15,0.05,0.19,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.19,0.16,0.04,0.2,0.18,0.17,0.17,0.15,0.15,0.04
2/3/15,0.19,0.18,0.18,0.16,0.16,0.12,0.06,0.19,0.2,0.18,0.18,0.17,0.14,0.06,0.19,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.16,0.04,0.2,0.18,0.17,0.17,0.15,0.13,0.03
2/4/15,0.19,0.18,0.18,0.16,0.16,0.12,0.06,0.19,0.2,0.18,0.18,0.17,0.14,0.04,0.19,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.16,0.04,0.2,0.18,0.17,0.17,0.15,0.14,0.03
2/5/15,0.19,0.18,0.18,0.16,0.16,0.12,0.06,0.19,0.2,0.18,0.18,0.17,0.14,0.05,0.19,0.18,0.18,0.18,0.14,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.16,0.04,0.2,0.18,0.17,0.17,0.15,0.13,0.03
2/6/15,0.19,0.18,0.18,0.16,0.16,0.12,0.06,0.19,0.2,0.18,0.18,0.17,0.14,0.06,0.19,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.16,0.04,0.2,0.18,0.17,0.17,0.15,0.14,0.03
2/7/15,0.19,0.18,0.18,0.16,0.17,0.13,0.07,0.19,0.2,0.19,0.18,0.18,0.15,0.05,0.18,0.19,0.18,0.18,0.15,0.13,0.05,0.19,0.19,0.19,0.18,0.19,0.17,0.04,0.2,0.19,0.17,0.18,0.15,0.15,0.04
2/8/15,0.19,0.19,0.18,0.17,0.17,0.13,0.07,0.19,0.2,0.19,0.18,0.18,0.15,0.05,0.19,0.19,0.18,0.18,0.15,0.13,0.05,0.19,0.19,0.19,0.18,0.18,0.17,0.05,0.2,0.19,0.17,0.17,0.16,0.16,0.04
2/9/15,0.18,0.19,0.18,0.16,0.17,0.12,0.05,0.18,0.2,0.18,0.17,0.17,0.14,0.05,0.18,0.18,0.18,0.18,0.14,0.12,0.05,0.19,0.19,0.19,0.17,0.18,0.15,0.04,0.2,0.18,0.17,0.18,0.14,0.13,0.03
2/10/15,0.19,0.18,0.17,0.16,0.16,0.11,0.05,0.18,0.2,0.18,0.17,0.18,0.14,0.06,0.18,0.18,0.17,0.18,0.15,0.12,0.05,0.19,0.19,0.18,0.17,0.18,0.16,0.04,0.2,0.18,0.17,0.17,0.14,0.12,0.03
2/11/15,0.19,0.18,0.18,0.16,0.16,0.12,0.06,0.19,0.2,0.18,0.17,0.17,0.14,0.05,0.18,0.18,0.18,0.18,0.14,0.12,0.05,0.19,0.19,0.18,0.18,0.18,0.16,0.04,0.2,0.19,0.17,0.17,0.14,0.14,0.03
2/12/15,0.19,0.19,0.18,0.16,0.16,0.12,0.06,0.19,0.2,0.18,0.17,0.17,0.15,0.05,0.19,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.17,0.04,0.2,0.18,0.17,0.17,0.15,0.14,0.03
2/13/15,0.19,0.19,0.18,0.16,0.16,0.12,0.06,0.19,0.2,0.18,0.17,0.17,0.15,0.05,0.19,0.18,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.17,0.04,0.2,0.18,0.17,0.17,0.15,0.14,0.03
2/14/15,0.19,0.19,0.18,0.16,0.17,0.12,0.06,0.19,0.2,0.19,0.18,0.18,0.15,0.06,0.19,0.19,0.18,0.18,0.15,0.12,0.05,0.19,0.19,0.19,0.18,0.18,0.17,0.05,0.2,0.18,0.17,0.17,0.15,0.15,0.04
2/15/15,0.18,0.18,0.17,0.16,0.16,0.11,0.05,0.18,0.2,0.17,0.17,0.17,0.13,0.05,0.18,0.18,0.17,0.18,0.14,0.11,0.05,0.19,0.18,0.18,0.17,0.18,0.15,0.04,0.2,0.18,0.17,0.17,0.14,0.12,0.03
2/16/15,0.17,0.18,0.17,0.15,0.16,0.09,0.04,0.18,0.19,0.16,0.16,0.17,0.13,0.05,0.18,0.18,0.17,0.18,0.14,0.11,0.05,0.18,0.19,0.18,0.14,0.17,0.11,0.03,0.2,0.18,0.16,0.17,0.12,0.11,0.03
2/17/15,0.17,0.18,0.16,0.15,0.16,0.08,0.03,0.18,0.19,0.16,0.16,0.17,0.12,0.05,0.18,0.17,0.17,0.18,0.14,0.11,0.05,0.18,0.18,0.17,0.13,0.17,0.12,0.03,0.2,0.18,0.16,0.17,0.13,0.09,0.02
2/18/15,0.17,0.18,0.17,0.15,0.15,0.1,0.04,0.18,0.2,0.18,0.15,0.17,0.13,0.05,0.18,0.18,0.17,0.18,0.15,0.12,0.05,0.18,0.18,0.18,0.16,0.18,0.14,0.03,0.2,0.18,0.16,0.16,0.14,0.1,0.02
2/19/15,0.17,0.18,0.17,0.15,0.14,0.1,0.05,0.18,0.19,0.17,0.16,0.17,0.13,0.05,0.18,0.18,0.17,0.18,0.14,0.12,0.05,0.18,0.18,0.18,0.16,0.18,0.15,0.03,0.2,0.18,0.16,0.17,0.14,0.11,0.02
2/20/15,0.18,0.18,0.17,0.16,0.15,0.11,0.05,0.18,0.19,0.17,0.16,0.17,0.13,0.05,0.18,0.18,0.17,0.18,0.14,0.12,0.05,0.19,0.18,0.18,0.17,0.18,0.15,0.04,0.2,0.18,0.16,0.17,0.14,0.13,0.03
2/21/15,0.17,0.18,0.17,0.15,0.16,0.1,0.05,0.18,0.19,0.16,0.16,0.16,0.13,0.05,0.18,0.18,0.17,0.18,0.14,0.11,0.05,0.18,0.19,0.18,0.16,0.18,0.13,0.03,0.2,0.18,0.16,0.17,0.13,0.11,0.02
2/22/15,0.17,0.18,0.16,0.15,0.14,0.09,0.04,0.18,0.19,0.16,0.16,0.17,0.12,0.04,0.18,0.17,0.17,0.18,0.14,0.11,0.05,0.18,0.18,0.18,0.15,0.18,0.11,0.03,0.2,0.18,0.16,0.17,0.12,0.07,0.01
2/23/15,0.16,0.18,0.16,0.15,0.14,0.08,0.03,0.18,0.19,0.15,0.15,0.17,0.11,0.04,0.18,0.17,0.17,0.18,0.14,0.11,0.05,0.18,0.18,0.18,0.15,0.18,0.1,0.02,0.2,0.18,0.16,0.17,0.12,0.05,0.01
2/24/15,0.17,0.18,0.16,0.15,0.14,0.08,0.03,0.18,0.19,0.16,0.15,0.17,0.12,0.05,0.18,0.17,0.17,0.18,0.14,0.11,0.05,0.18,0.18,0.18,0.15,0.18,0.1,0.03,0.2,0.18,0.16,0.17,0.12,0.04,0.01
