Date_Time,VWC_19_Avg,T_19_Avg,VWC_20_Avg,T_20_Avg
2/12/17 17:00,0.289,21.7,0.251,21.74
2/12/17 18:00,0.288,21.5,0.251,21.45
2/12/17 19:00,0.287,20.98,0.251,20.91
2/12/17 20:00,0.286,20.52,0.251,20.47
2/12/17 21:00,0.286,20.32,0.251,20.29
2/12/17 22:00,0.286,20.41,0.251,20.34
2/12/17 23:00,0.286,20.58,0.251,20.51
2/13/17 0:00,0.286,20.71,0.251,20.65
2/13/17 1:00,0.286,20.63,0.251,20.61
2/13/17 2:00,0.29,20.53,0.251,20.56
2/13/17 3:00,0.294,20.53,0.251,20.57
2/13/17 4:00,0.296,20.38,0.251,20.41
2/13/17 5:00,0.296,20.17,0.251,20.19
2/13/17 6:00,0.296,19.75,0.251,19.86
2/13/17 7:00,0.296,19.28,0.251,19.41
2/13/17 8:00,0.296,19.12,0.251,19.23
2/13/17 9:00,0.295,19.16,0.251,19.23
2/13/17 10:00,0.295,19.64,0.251,19.65
2/13/17 11:00,0.295,20.2,0.251,20.2
2/13/17 12:00,0.295,20.63,0.251,20.65
2/13/17 13:00,0.294,21.2,0.251,21.31
2/13/17 14:00,0.292,21.4,0.251,21.65
2/13/17 15:00,0.291,21.5,0.251,21.69
2/13/17 16:00,0.29,21.57,0.251,21.71
2/13/17 17:00,0.289,21.73,0.251,21.86
2/13/17 18:00,0.288,21.63,0.251,21.7
2/13/17 19:00,0.288,21.21,0.251,21.25
2/13/17 20:00,0.287,20.69,0.251,20.73
2/13/17 21:00,0.287,20.29,0.251,20.34
2/13/17 22:00,0.287,20.25,0.251,20.28
2/13/17 23:00,0.287,20.36,0.251,20.35
2/14/17 0:00,0.287,20.49,0.251,20.49
2/14/17 1:00,0.287,20.51,0.251,20.5
2/14/17 2:00,0.287,20.41,0.251,20.41
2/14/17 3:00,0.287,20.05,0.251,20.07
2/14/17 4:00,0.287,19.7,0.251,19.72
2/14/17 5:00,0.287,19.7,0.251,19.74
2/14/17 6:00,0.287,19.65,0.251,19.71
2/14/17 7:00,0.287,19.42,0.251,19.47
2/14/17 8:00,0.287,19.27,0.251,19.34
2/14/17 9:00,0.287,19.28,0.251,19.31
2/14/17 10:00,0.286,19.68,0.251,19.68
2/14/17 11:00,0.285,20.29,0.251,20.28
2/14/17 12:00,0.284,20.85,0.251,20.86
2/14/17 13:00,0.282,21.32,0.251,21.35
2/14/17 14:00,0.281,21.53,0.251,21.6
2/14/17 15:00,0.279,21.75,0.251,21.77
2/14/17 16:00,0.277,21.93,0.25,21.92
2/14/17 17:00,0.276,21.66,0.25,21.66
2/14/17 18:00,0.275,21.5,0.25,21.48
2/14/17 19:00,0.274,21,0.25,21.01
2/14/17 20:00,0.274,20.31,0.25,20.32
2/14/17 21:00,0.274,19.89,0.249,19.93
2/14/17 22:00,0.274,19.59,0.249,19.58
2/14/17 23:00,0.274,19.34,0.249,19.36
2/15/17 0:00,0.273,19.11,0.249,19.16
2/15/17 1:00,0.273,19.16,0.249,19.22
2/15/17 2:00,0.273,19.14,0.249,19.22
2/15/17 3:00,0.273,19.04,0.249,19.11
2/15/17 4:00,0.273,18.87,0.249,18.93
2/15/17 5:00,0.273,18.72,0.249,18.79
2/15/17 6:00,0.273,18.73,0.249,18.8
2/15/17 7:00,0.273,18.6,0.249,18.69
2/15/17 8:00,0.273,18.66,0.249,18.74
2/15/17 9:00,0.272,18.88,0.249,18.91
2/15/17 10:00,0.272,19.63,0.249,19.6
2/15/17 11:00,0.271,20.45,0.249,20.41
2/15/17 12:00,0.27,20.79,0.249,20.74
2/15/17 13:00,0.268,21.42,0.249,21.35
2/15/17 14:00,0.266,21.79,0.249,21.71
2/15/17 15:00,0.264,22.37,0.248,22.25
2/15/17 16:00,0.262,22.81,0.248,22.68
2/15/17 17:00,0.26,22.44,0.248,22.45
2/15/17 18:00,0.258,22.06,0.248,22.07
2/15/17 19:00,0.257,21.33,0.248,21.35
2/15/17 20:00,0.257,20.64,0.247,20.64
2/15/17 21:00,0.256,20.02,0.247,19.99
2/15/17 22:00,0.255,19.86,0.247,19.86
2/15/17 23:00,0.255,20.24,0.247,20.28
2/16/17 0:00,0.255,20.4,0.247,20.42
2/16/17 1:00,0.255,20.25,0.247,20.26
2/16/17 2:00,0.255,19.92,0.247,19.92
2/16/17 3:00,0.255,19.85,0.247,19.84
2/16/17 4:00,0.255,20.06,0.247,20.05
2/16/17 5:00,0.255,20.24,0.247,20.26
2/16/17 6:00,0.255,20.13,0.247,20.13
2/16/17 7:00,0.255,19.88,0.247,19.89
2/16/17 8:00,0.255,19.73,0.247,19.77
2/16/17 9:00,0.254,19.86,0.246,19.86
2/16/17 10:00,0.254,20.39,0.246,20.33
2/16/17 11:00,0.252,21.15,0.246,21.07
2/16/17 12:00,0.251,22.15,0.246,22.06
2/16/17 13:00,0.249,22.75,0.246,22.58
2/16/17 14:00,0.247,23.11,0.246,23.05
2/16/17 15:00,0.245,23.13,0.245,23
2/16/17 16:00,0.243,23.27,0.245,23.13
2/16/17 17:00,0.242,23.07,0.245,23.06
2/16/17 18:00,0.241,22.62,0.244,22.6
2/16/17 19:00,0.24,21.9,0.244,21.9
2/16/17 20:00,0.24,21.45,0.244,21.43
2/16/17 21:00,0.24,21.23,0.244,21.19
2/16/17 22:00,0.239,21.04,0.244,21.01
2/16/17 23:00,0.239,20.88,0.244,20.85
2/17/17 0:00,0.239,20.54,0.243,20.54
2/17/17 1:00,0.239,20.17,0.243,20.17
2/17/17 2:00,0.239,19.73,0.243,19.78
2/17/17 3:00,0.238,19.39,0.243,19.4
2/17/17 4:00,0.238,19.05,0.243,19.12
2/17/17 5:00,0.238,18.68,0.243,18.74
2/17/17 6:00,0.238,18.46,0.243,18.55
2/17/17 7:00,0.238,18.31,0.243,18.42
2/17/17 8:00,0.238,18.37,0.243,18.45
2/17/17 9:00,0.238,18.4,0.243,18.53
2/17/17 10:00,0.237,19.04,0.243,19.04
2/17/17 11:00,0.237,20.31,0.243,20.24
2/17/17 12:00,0.236,21.42,0.243,21.36
2/17/17 13:00,0.235,21.86,0.243,21.69
2/17/17 14:00,0.233,21.83,0.243,21.7
2/17/17 15:00,0.232,22.57,0.243,22.37
2/17/17 16:00,0.231,23.18,0.242,22.98
2/17/17 17:00,0.23,23.05,0.242,22.92
2/17/17 18:00,0.229,22.57,0.242,22.42
2/17/17 19:00,0.228,21.71,0.241,21.63
2/17/17 20:00,0.228,20.96,0.241,20.94
2/17/17 21:00,0.227,20.48,0.241,20.48
2/17/17 22:00,0.227,20.15,0.241,20.18
2/17/17 23:00,0.227,19.87,0.241,19.94
2/18/17 0:00,0.227,19.59,0.241,19.66
2/18/17 1:00,0.226,19.35,0.241,19.47
2/18/17 2:00,0.226,19.14,0.241,19.29
2/18/17 3:00,0.226,18.97,0.241,19.1
2/18/17 4:00,0.226,18.68,0.241,18.77
2/18/17 5:00,0.226,18.36,0.241,18.51
2/18/17 6:00,0.226,18.12,0.241,18.31
2/18/17 7:00,0.226,18.02,0.241,18.19
2/18/17 8:00,0.227,18.39,0.241,18.53
2/18/17 9:00,0.226,18.92,0.241,19
2/18/17 10:00,0.226,19.89,0.241,19.85
2/18/17 11:00,0.226,20.83,0.241,20.77
2/18/17 12:00,0.225,21.78,0.241,21.57
2/18/17 13:00,0.224,22.53,0.241,22.16
2/18/17 14:00,0.222,22.64,0.24,22.52
2/18/17 15:00,0.221,22.78,0.24,22.61
2/18/17 16:00,0.22,22.83,0.24,22.77
2/18/17 17:00,0.219,22.35,0.239,22.27
2/18/17 18:00,0.218,21.87,0.239,21.77
2/18/17 19:00,0.217,20.76,0.239,20.7
2/18/17 20:00,0.217,19.97,0.239,19.97
2/18/17 21:00,0.217,19.35,0.239,19.39
2/18/17 22:00,0.216,19.07,0.238,19.15
2/18/17 23:00,0.216,18.88,0.238,18.96
2/19/17 0:00,0.216,18.83,0.238,18.9
2/19/17 1:00,0.216,18.91,0.238,18.99
2/19/17 2:00,0.216,19.05,0.238,19.12
2/19/17 3:00,0.216,19.22,0.238,19.26
2/19/17 4:00,0.215,19.34,0.238,19.39
2/19/17 5:00,0.215,19.44,0.238,19.47
2/19/17 6:00,0.215,19.52,0.238,19.56
2/19/17 7:00,0.215,19.72,0.238,19.72
2/19/17 8:00,0.215,19.98,0.238,19.95
2/19/17 9:00,0.215,20.36,0.238,20.28
2/19/17 10:00,0.215,20.87,0.238,20.79
2/19/17 11:00,0.22,21.05,0.238,21.06
2/19/17 12:00,0.232,20.79,0.239,20.9
2/19/17 13:00,0.228,20.96,0.239,21.05
2/19/17 14:00,0.23,20.84,0.239,20.92
2/19/17 15:00,0.235,20.99,0.239,21.04
2/19/17 16:00,0.237,21.11,0.239,21.15
2/19/17 17:00,0.238,21.17,0.239,21.19
2/19/17 18:00,0.238,21.17,0.239,21.19
2/19/17 19:00,0.238,21.06,0.239,21.06
2/19/17 20:00,0.237,20.84,0.239,20.86
2/19/17 21:00,0.236,20.39,0.239,20.47
2/19/17 22:00,0.236,20.09,0.239,20.15
2/19/17 23:00,0.235,19.91,0.239,19.97
2/20/17 0:00,0.235,19.64,0.239,19.73
2/20/17 1:00,0.234,19.2,0.239,19.35
2/20/17 2:00,0.234,18.73,0.239,18.87
2/20/17 3:00,0.233,18.46,0.239,18.57
2/20/17 4:00,0.233,18.46,0.239,18.56
2/20/17 5:00,0.233,18.51,0.239,18.59
2/20/17 6:00,0.233,18.5,0.239,18.63
2/20/17 7:00,0.233,18.29,0.239,18.42
2/20/17 8:00,0.233,18.37,0.239,18.48
2/20/17 9:00,0.233,18.78,0.239,18.85
2/20/17 10:00,0.231,19.43,0.239,19.59
2/20/17 11:00,0.23,20.34,0.239,20.67
2/20/17 12:00,0.228,21.29,0.239,21.57
2/20/17 13:00,0.226,22.13,0.239,22.26
2/20/17 14:00,0.225,22.28,0.239,22.41
2/20/17 15:00,0.223,22.49,0.239,22.57
2/20/17 16:00,0.221,22.42,0.239,22.43
2/20/17 17:00,0.22,21.6,0.239,21.6
2/20/17 18:00,0.22,21.48,0.239,21.45
2/20/17 19:00,0.219,21.25,0.238,21.23
2/20/17 20:00,0.222,20.85,0.238,20.89
2/20/17 21:00,0.239,20.53,0.239,20.68
2/20/17 22:00,0.239,19.73,0.239,19.96
2/20/17 23:00,0.238,19.3,0.239,19.44
2/21/17 0:00,0.238,19.37,0.239,19.51
2/21/17 1:00,0.237,19.46,0.239,19.59
2/21/17 2:00,0.236,19.47,0.239,19.66
2/21/17 3:00,0.236,19.5,0.239,19.66
2/21/17 4:00,0.237,19.5,0.239,19.63
2/21/17 5:00,0.238,19.75,0.239,19.88
2/21/17 6:00,0.239,19.89,0.239,20
2/21/17 7:00,0.239,19.74,0.239,19.88
2/21/17 8:00,0.239,19.27,0.239,19.43
2/21/17 9:00,0.239,19.08,0.239,19.19
2/21/17 10:00,0.238,19.34,0.239,19.41
2/21/17 11:00,0.238,19.56,0.239,19.67
2/21/17 12:00,0.236,19.83,0.239,20.05
2/21/17 13:00,0.236,20,0.239,20.18
2/21/17 14:00,0.234,20.09,0.239,20.38
2/21/17 15:00,0.233,20.21,0.239,20.6
2/21/17 16:00,0.231,20.5,0.239,20.78
2/21/17 17:00,0.23,20.47,0.239,20.79
2/21/17 18:00,0.229,20.41,0.239,20.69
2/21/17 19:00,0.228,20.16,0.239,20.39
2/21/17 20:00,0.228,19.87,0.239,20.03
2/21/17 21:00,0.227,19.7,0.239,19.84
2/21/17 22:00,0.227,19.54,0.239,19.67
2/21/17 23:00,0.227,19.21,0.239,19.33
2/22/17 0:00,0.227,19.23,0.239,19.33
2/22/17 1:00,0.226,19.14,0.239,19.27
2/22/17 2:00,0.226,18.99,0.239,19.12
2/22/17 3:00,0.226,18.98,0.239,19.09
2/22/17 4:00,0.226,19.17,0.239,19.28
2/22/17 5:00,0.226,19.17,0.239,19.29
2/22/17 6:00,0.226,19.06,0.239,19.21
2/22/17 7:00,0.226,18.88,0.239,19.04
2/22/17 8:00,0.226,19.02,0.239,19.16
2/22/17 9:00,0.226,19.39,0.239,19.48
2/22/17 10:00,0.225,19.84,0.239,19.9
2/22/17 11:00,0.224,20.2,0.239,20.27
2/22/17 12:00,0.223,20.47,0.239,20.54
2/22/17 13:00,0.222,20.8,0.239,20.85
2/22/17 14:00,0.221,21.36,0.239,21.46
2/22/17 15:00,0.219,21.41,0.239,21.56
2/22/17 16:00,0.218,21.15,0.239,21.29
2/22/17 17:00,0.217,21.13,0.239,21.22
2/22/17 18:00,0.217,21.1,0.239,21.16
2/22/17 19:00,0.216,20.8,0.239,20.88
2/22/17 20:00,0.216,20.34,0.239,20.41
2/22/17 21:00,0.216,20.06,0.238,20.11
2/22/17 22:00,0.217,19.87,0.239,19.99
2/22/17 23:00,0.217,19.86,0.239,19.97
2/23/17 0:00,0.217,19.63,0.239,19.8
2/23/17 1:00,0.217,19.44,0.239,19.58
2/23/17 2:00,0.217,19.13,0.239,19.3
2/23/17 3:00,0.217,18.97,0.238,19.11
2/23/17 4:00,0.217,19.19,0.239,19.27
2/23/17 5:00,0.217,19.33,0.239,19.43
2/23/17 6:00,0.217,19.14,0.239,19.28
2/23/17 7:00,0.217,19.01,0.239,19.13
2/23/17 8:00,0.217,18.97,0.239,19.07
2/23/17 9:00,0.217,19.46,0.239,19.52
2/23/17 10:00,0.217,19.93,0.239,20.04
2/23/17 11:00,0.216,20.64,0.239,20.72
2/23/17 12:00,0.216,20.97,0.239,21.08
2/23/17 13:00,0.215,21.12,0.239,21.21
2/23/17 14:00,0.215,21.19,0.239,21.34
2/23/17 15:00,0.214,21.23,0.239,21.45
2/23/17 16:00,0.214,21.26,0.239,21.41
2/23/17 17:00,0.213,21.29,0.239,21.35
2/23/17 18:00,0.213,21.19,0.239,21.24
2/23/17 19:00,0.213,21.05,0.239,21.14
2/23/17 20:00,0.213,20.75,0.239,20.8
2/23/17 21:00,0.213,20.3,0.239,20.36
2/23/17 22:00,0.213,20,0.239,20.05
2/23/17 23:00,0.213,20.13,0.238,20.14
2/24/17 0:00,0.213,20.28,0.238,20.3
2/24/17 1:00,0.213,20.06,0.238,20.1
2/24/17 2:00,0.213,19.87,0.238,19.92
2/24/17 3:00,0.213,19.78,0.238,19.83
2/24/17 4:00,0.213,19.84,0.238,19.91
2/24/17 5:00,0.213,19.88,0.239,19.97
2/24/17 6:00,0.213,19.82,0.239,19.92
2/24/17 7:00,0.213,19.79,0.239,19.88
2/24/17 8:00,0.214,19.92,0.239,19.98
2/24/17 9:00,0.214,20.05,0.239,20.12
2/24/17 10:00,0.213,20.29,0.239,20.32
2/24/17 11:00,0.213,20.67,0.239,20.9
2/24/17 12:00,0.212,21.2,0.239,21.7
2/24/17 13:00,0.21,22.23,0.238,22.55
2/24/17 14:00,0.209,22.66,0.238,22.9
2/24/17 15:00,0.208,22.69,0.238,22.85
2/24/17 16:00,0.206,23.23,0.237,22.95
2/24/17 17:00,0.205,22.82,0.237,22.91
2/24/17 18:00,0.204,22.32,0.237,22.43
2/24/17 19:00,0.204,21.54,0.236,21.69
2/24/17 20:00,0.204,21,0.236,21.15
2/24/17 21:00,0.204,20.86,0.236,20.98
2/24/17 22:00,0.203,20.81,0.236,20.92
2/24/17 23:00,0.203,20.7,0.236,20.8
2/25/17 0:00,0.203,20.42,0.236,20.49
2/25/17 1:00,0.203,20.26,0.236,20.32
2/25/17 2:00,0.203,20.06,0.236,20.14
2/25/17 3:00,0.203,19.61,0.235,19.73
2/25/17 4:00,0.203,19.22,0.235,19.35
2/25/17 5:00,0.203,18.74,0.235,18.89
2/25/17 6:00,0.203,18.72,0.235,18.85
2/25/17 7:00,0.202,18.83,0.235,18.99
2/25/17 8:00,0.202,19.07,0.235,19.18
2/25/17 9:00,0.202,19.44,0.235,19.53
2/25/17 10:00,0.202,20.39,0.235,20.4
2/25/17 11:00,0.202,21.38,0.235,21.36
2/25/17 12:00,0.202,21.79,0.235,21.77
2/25/17 13:00,0.201,22.16,0.235,22.09
2/25/17 14:00,0.2,22,0.235,22.06
2/25/17 15:00,0.2,21.92,0.235,21.92
2/25/17 16:00,0.199,23.05,0.235,22.69
2/25/17 17:00,0.198,23.02,0.235,22.86
2/25/17 18:00,0.198,22.74,0.235,22.66
2/25/17 19:00,0.197,22.05,0.235,22.03
2/25/17 20:00,0.197,21.45,0.235,21.45
2/25/17 21:00,0.197,21.16,0.235,21.13
2/25/17 22:00,0.197,20.75,0.234,20.75
2/25/17 23:00,0.197,20.52,0.234,20.51
2/26/17 0:00,0.197,20.42,0.234,20.43
2/26/17 1:00,0.197,20.88,0.234,20.83
2/26/17 2:00,0.196,20.7,0.234,20.71
2/26/17 3:00,0.196,20.29,0.234,20.32
2/26/17 4:00,0.196,20.18,0.234,20.19
2/26/17 5:00,0.196,20.14,0.234,20.14
2/26/17 6:00,0.196,20.27,0.234,20.26
2/26/17 7:00,0.196,20.54,0.234,20.51
2/26/17 8:00,0.196,20.46,0.234,20.46
2/26/17 9:00,0.196,20.52,0.234,20.51
2/26/17 10:00,0.195,20.99,0.234,20.89
2/26/17 11:00,0.195,21.79,0.234,21.67
2/26/17 12:00,0.194,22.1,0.234,22.07
2/26/17 13:00,0.194,22.57,0.234,22.48
2/26/17 14:00,0.193,22.59,0.234,22.51
2/26/17 15:00,0.192,22.79,0.233,22.65
2/26/17 16:00,0.192,22.92,0.233,22.74
2/26/17 17:00,0.191,22.78,0.233,22.67
2/26/17 18:00,0.191,22.58,0.233,22.5
2/26/17 19:00,0.19,21.97,0.233,21.93
2/26/17 20:00,0.19,21.6,0.233,21.56
2/26/17 21:00,0.19,21.39,0.233,21.35
2/26/17 22:00,0.19,21.25,0.233,21.22
2/26/17 23:00,0.19,21.23,0.233,21.21
2/27/17 0:00,0.19,21.16,0.233,21.13
2/27/17 1:00,0.19,21.1,0.233,21.07
2/27/17 2:00,0.19,21.12,0.233,21.09
2/27/17 3:00,0.206,20.8,0.233,20.96
2/27/17 4:00,0.228,20.61,0.233,20.75
2/27/17 5:00,0.218,20.63,0.233,20.73
2/27/17 6:00,0.231,20.64,0.233,20.74
2/27/17 7:00,0.238,20.41,0.234,20.52
2/27/17 8:00,0.237,20.41,0.234,20.49
2/27/17 9:00,0.231,20.48,0.234,20.56
2/27/17 10:00,0.228,20.64,0.234,20.74
2/27/17 11:00,0.223,21.08,0.234,21.26
2/27/17 12:00,0.219,21.5,0.235,22.06
2/27/17 13:00,0.215,22.01,0.235,22.52
2/27/17 14:00,0.212,22,0.235,22.4
2/27/17 15:00,0.21,22.17,0.234,22.4
2/27/17 16:00,0.208,22.46,0.234,22.66
2/27/17 17:00,0.206,22.32,0.234,22.46
2/27/17 18:00,0.204,22.08,0.234,22.17
2/27/17 19:00,0.204,21.55,0.234,21.71
2/27/17 20:00,0.204,21.21,0.234,21.33
2/27/17 21:00,0.208,21.11,0.234,21.2
2/27/17 22:00,0.211,21.05,0.234,21.13
2/27/17 23:00,0.215,20.94,0.234,21.03
2/28/17 0:00,0.221,20.81,0.234,20.91
2/28/17 1:00,0.222,20.72,0.235,20.81
2/28/17 2:00,0.221,20.64,0.235,20.72
2/28/17 3:00,0.22,20.58,0.235,20.66
2/28/17 4:00,0.219,20.63,0.235,20.69
2/28/17 5:00,0.219,20.59,0.235,20.67
2/28/17 6:00,0.218,20.45,0.235,20.52
2/28/17 7:00,0.218,20.46,0.235,20.51
2/28/17 8:00,0.217,20.6,0.235,20.65
2/28/17 9:00,0.216,20.74,0.235,20.81
2/28/17 10:00,0.215,20.96,0.235,21.07
2/28/17 11:00,0.215,21.13,0.235,21.24
2/28/17 12:00,0.215,21.4,0.235,21.46
2/28/17 13:00,0.221,21.37,0.235,21.46
2/28/17 14:00,0.224,21.45,0.235,21.54
2/28/17 15:00,0.236,21.55,0.235,21.65
2/28/17 16:00,0.242,21.64,0.235,21.69
2/28/17 17:00,0.247,21.4,0.236,21.46
2/28/17 18:00,0.246,21.21,0.236,21.29
2/28/17 19:00,0.242,21.04,0.236,21.11
2/28/17 20:00,0.24,20.58,0.236,20.73
2/28/17 21:00,0.238,20.7,0.236,20.75
2/28/17 22:00,0.237,20.63,0.236,20.73
2/28/17 23:00,0.247,20.64,0.236,20.73
3/1/17 0:00,0.25,20.53,0.236,20.63
3/1/17 1:00,0.249,20.25,0.236,20.35
3/1/17 2:00,0.249,20.4,0.236,20.46
3/1/17 3:00,0.248,20.52,0.237,20.58
3/1/17 4:00,0.255,20.54,0.237,20.61
3/1/17 5:00,0.258,20.43,0.237,20.53
3/1/17 6:00,0.278,20.29,0.237,20.4
3/1/17 7:00,0.286,20.29,0.237,20.4
3/1/17 8:00,0.287,20.19,0.238,20.29
3/1/17 9:00,0.285,20.19,0.238,20.27
3/1/17 10:00,0.296,20.38,0.238,20.47
3/1/17 11:00,0.301,20.37,0.238,20.49
3/1/17 12:00,0.296,21,0.239,21.33
3/1/17 13:00,0.291,21.71,0.239,22.09
3/1/17 14:00,0.285,21.97,0.239,22.27
3/1/17 15:00,0.28,22.03,0.238,22.29
3/1/17 16:00,0.276,22.01,0.238,22.2
3/1/17 17:00,0.273,21.76,0.238,21.92
3/1/17 18:00,0.271,21.48,0.239,21.6
3/1/17 19:00,0.278,21.26,0.239,21.34
3/1/17 20:00,0.28,21.11,0.239,21.17
3/1/17 21:00,0.28,20.81,0.239,20.91
3/1/17 22:00,0.279,20.69,0.239,20.78
3/1/17 23:00,0.278,20.6,0.239,20.71
3/2/17 0:00,0.277,20.35,0.239,20.47
3/2/17 1:00,0.276,20.26,0.239,20.39
3/2/17 2:00,0.275,20.28,0.239,20.39
3/2/17 3:00,0.273,20.36,0.239,20.49
3/2/17 4:00,0.272,20.44,0.239,20.59
3/2/17 5:00,0.271,20.46,0.239,20.59
3/2/17 6:00,0.27,20.55,0.239,20.68
3/2/17 7:00,0.269,20.59,0.239,20.71
3/2/17 8:00,0.268,20.7,0.239,20.81
3/2/17 9:00,0.266,20.84,0.239,20.98
3/2/17 10:00,0.264,21.06,0.239,21.19
3/2/17 11:00,0.262,21.31,0.239,21.47
3/2/17 12:00,0.259,21.52,0.239,21.76
3/2/17 13:00,0.256,22.05,0.239,22.14
3/2/17 14:00,0.252,22.37,0.239,22.53
3/2/17 15:00,0.249,22.58,0.239,22.74
3/2/17 16:00,0.246,22.49,0.239,22.64
3/2/17 17:00,0.244,22.34,0.239,22.47
3/2/17 18:00,0.241,22.18,0.239,22.26
3/2/17 19:00,0.24,21.82,0.239,21.87
3/2/17 20:00,0.239,21.52,0.239,21.56
3/2/17 21:00,0.238,21.34,0.239,21.37
3/2/17 22:00,0.238,21.03,0.239,21.09
3/2/17 23:00,0.238,20.78,0.239,20.87
3/3/17 0:00,0.238,20.66,0.239,20.74
3/3/17 1:00,0.239,20.66,0.239,20.73
3/3/17 2:00,0.244,20.45,0.239,20.56
3/3/17 3:00,0.244,20.32,0.239,20.4
3/3/17 4:00,0.244,20.36,0.239,20.41
3/3/17 5:00,0.245,20.14,0.239,20.24
3/3/17 6:00,0.245,20.21,0.239,20.24
3/3/17 7:00,0.245,20.27,0.239,20.32
3/3/17 8:00,0.244,20.33,0.239,20.38
3/3/17 9:00,0.244,20.42,0.239,20.5
3/3/17 10:00,0.243,20.76,0.239,20.87
3/3/17 11:00,0.242,21.05,0.239,21.2
3/3/17 12:00,0.24,21.44,0.239,22.2
3/3/17 13:00,0.237,22.01,0.238,22.32
3/3/17 14:00,0.234,22.04,0.238,22.3
3/3/17 15:00,0.232,22.24,0.238,22.48
3/3/17 16:00,0.229,22.45,0.238,22.64
3/3/17 17:00,0.227,22.3,0.237,22.49
3/3/17 18:00,0.226,21.93,0.237,22.06
3/3/17 19:00,0.225,21.67,0.237,21.76
3/3/17 20:00,0.237,20.86,0.237,21.09
3/3/17 21:00,0.244,20.6,0.237,20.73
3/3/17 22:00,0.245,20.51,0.237,20.6
3/3/17 23:00,0.245,20.55,0.237,20.63
3/4/17 0:00,0.245,20.67,0.237,20.74
3/4/17 1:00,0.245,20.66,0.237,20.72
3/4/17 2:00,0.245,20.6,0.237,20.68
3/4/17 3:00,0.253,20.44,0.237,20.53
3/4/17 4:00,0.255,20.25,0.237,20.36
3/4/17 5:00,0.254,20.15,0.237,20.22
3/4/17 6:00,0.255,20.02,0.237,20.11
3/4/17 7:00,0.254,20.23,0.237,20.29
3/4/17 8:00,0.254,20.34,0.237,20.44
3/4/17 9:00,0.254,20.57,0.237,20.69
3/4/17 10:00,0.252,20.8,0.237,20.92
3/4/17 11:00,0.251,21.17,0.237,21.35
3/4/17 12:00,0.248,21.82,0.237,22.2
3/4/17 13:00,0.246,22,0.237,22.29
3/4/17 14:00,0.244,21.57,0.237,21.8
3/4/17 15:00,0.242,21.75,0.237,21.9
3/4/17 16:00,0.24,21.83,0.237,22.03
3/4/17 17:00,0.238,21.55,0.237,21.69
3/4/17 18:00,0.236,21.35,0.237,21.4
3/4/17 19:00,0.236,21.13,0.237,21.18
3/4/17 20:00,0.236,20.68,0.237,20.75
3/4/17 21:00,0.236,20.59,0.237,20.65
3/4/17 22:00,0.235,20.55,0.237,20.6
